id,name_en,name_ar,description_en,description_ar,category_en,category_ar
8990,"1,3 Propanediol","1,3 Propanediol",Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9430,5-Methyl-2-Phenyl-2-Hexenal,5-Methyl-2-Phenyl-2-Hexenal,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9678,Acetal (Natural) **,Acetal (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6065,Acetaldehyde ethyl linalyl acetal a.k.a Elintaal,Acetaldehyde ethyl linalyl acetal a.k.a Elintaal,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5980,Acetanisole Crystals,Acetanisole Crystals,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7658,Acetate C-8 (Octyl Acetate) (Natural),Acetate C-8 (Octyl Acetate) (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5981,Acetate C9 (Nonyl Acetate),Acetate C9 (Nonyl Acetate),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9637,Acetic Acid **,Acetic Acid **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5983,Acetophenone (phenyl methyl ketone),Acetophenone (phenyl methyl ketone),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5986,Adoxal (Givaudan),Adoxal (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
10239,Agrumen Aldehyde Light,Agrumen Aldehyde Light,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6387,Ajowan - India,Ajowan - India,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5987,Alcohol C-10,Alcohol C-10,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7664,Alcohol C-6 (Hexanol) (Natural) **,Alcohol C-6 (Hexanol) (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7663,Alcohol C-8 (Octanol) (Natural),Alcohol C-8 (Octanol) (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5989,Alcohol C-9,Alcohol C-9,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9941,Aldambre (Synarome),Aldambre (Synarome),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5990,Aldehyde C-10 (decanal)**,Aldehyde C-10 (decanal)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5991,Aldehyde C-11 Undecylenic,Aldehyde C-11 Undecylenic,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5992,Aldehyde C-12 Lauric,Aldehyde C-12 Lauric,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9570,Aldehyde C-12 MNA (10% in BB)**,Aldehyde C-12 MNA (10% in BB)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5993,Aldehyde C-12 MNA **,Aldehyde C-12 MNA **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5994,Aldehyde C-14 PEACH,Aldehyde C-14 PEACH,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5995,Aldehyde C-16 STRAWBERRY,Aldehyde C-16 STRAWBERRY,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5996,Aldehyde C-18 COCONUT,Aldehyde C-18 COCONUT,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8563,Aldehyde C-6 FCC (Hexanal) **,Aldehyde C-6 FCC (Hexanal) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5997,Aldehyde C-8 **,Aldehyde C-8 **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5998,Aldehyde C-9,Aldehyde C-9,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9225,Aldehyde Supra (Firmenich),Aldehyde Supra (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9357,Algenone (Synarome),Algenone (Synarome),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9363,Algix (Synarome),Algix (Synarome),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6388,Allspice (Pimento Berry) - Jamaica,Allspice (Pimento Berry) - Jamaica,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9761,Allspice Essence (Fragrance) **,Allspice Essence (Fragrance) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5999,Allyl Amyl Glycolate (IFF),Allyl Amyl Glycolate (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6000,Allyl Caproate **,Allyl Caproate **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6270,Almond Fragrance Oil**,Almond Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
